Title,Actual_Price,Selling_Price,Brand,Model Name,Colour,Form_Factor,Connectivity_Type
"Portronics Ear 1 in-Ear Wired Earphones Crystal Clear Sound with Mic. I Metal Earbuds, TPE + Nylon Braided Wire(Black)",₹599,349,Portronics,Ear 1,Black,nan,nan
"Noise Buds VS402 Truly Wireless in Ear Earbuds, 35-Hours of Playtime (Neon Black) & ColorFit Pulse Grand Smart Watch & IP68 Waterproof (Jet Black) & Pulse Go Buzz Smart Watch Bluetooth Calling",,,Noise,,Neon Black,In Ear,Wireless
"Noise Newly Launched Buds VS204 in-Ear Truly Wireless Earbuds with 50-Hours of Playtime, ESR, Instacharge, Hyper Sync,10mm Driver, Bluetooth v5.3, with Mic (Snow White)","₹3,999","1,599",Noise,Buds VS204,Snow White,In Ear,Wireless
"(Renewed) Jabra Elite 3 in Ear Wireless Bluetooth Earbuds - Noise Isolating True Wireless Buds with 4 Built-in Microphones for Clear Calls, Rich Bass, Customizable Sound, and Mono Mode-Lilac",,,Jabra,,Lilac,In Ear,Wireless
"Boult Audio FXCharge Wireless in Ear Bluetooth Earphones with ENC Mic, 32H Playtime, Type-C Fast Charging (5Min=7Hrs Playtime), Made in India, Biggest 14.2mm Bass Drivers Neckband Ear Phones (Green)","₹4,499",999,Boult Audio,ProBass,FXCharge Green,In Ear,Bluetooth 5.2
"Noise Buds Vs104 Bluetooth Truly Wireless in Ear Earbuds with Mic, 30-Hours of Playtime, Instacharge, 13Mm Driver and Hyper Sync (Snow White)","₹3,499","1,499",Noise,Buds VS104,Snow White,In Ear,Wireless
"boAt Airdopes 181 in-Ear True Wireless Earbuds with ENx Tech (Carbon Black) & Wave Call Smart Watch, Smart Talk with Advanced Dedicated Bluetooth Calling Chip Active Black & Flash Edition Smart Watch",,,boAt,,Black,In Ear,Wireless
boAt Bassheads 152 Sunburn Edition in Ear Wired Earphones with Mic(Techno Purple),"₹1,299",399,boAt,Bassheads 152`,Techno Purple,In Ear,Wired
"boAt Nirvana 751 ANC Hybrid Active Noise Cancelling Bluetooth Wireless Over Ear Headphones with Up to 65H Playtime, ASAP Charge, Ambient Sound Mode, Immersive Sound, Carry Pouch(Gunmetal Grey)","₹7,990","3,999",boAt,Nirvanaa 751 ANC,Gunmetal Grey,Over Ear,Bluetooth 5.0
"Portronics Muffs M POR-317 Wireless Bluetooth 5.0 Stereo On-Ear Headphones with Immersive Stereo Sound, Hands Free Mic & AUX Port (Black)","₹1,999",999,Portronics,Headphones,Black,On Ear,Wireless
"Gaming Headset K8 with Surround Sound, Premium Wired Over Ear Gaming Headphones with Mic & LED Light, Compatible with PS5, PS4, Switch, Xbox Series X|S, PC, Laptop. (White)","₹1,999",827,RUNMUS GAMING,K8,Black,Over Ear,Wired
Meyaar LX-03EP Made in India Series with Super Deep Bass 90%-Noise Isolating Earbuds with Microphone and Amazing Sound Effects and Game Experience Headphone with Mic for for All Smartphones(Black),₹699,229,Meyaar,,Black,In Ear,wired usb
"pTron Tangent Evo, 14Hrs Playback, Bluetooth 5.0 Earphones, In-Ear Headphones with Mic, Deep Bass, Clear Calls, IPX4 Water Resistant Neckband, Voice Assistance, Magnetic Earbuds & Fast Charging (Blue)","₹2,299",499,PTron,Tangent,Blue,In Ear,Wireless
"Wings Phantom 110 Neckband with ENC Mic,Dual Pairing, 20 hrs Playtime, Bluetooth 5.3,Dedicated Bass Boost Mode and Gaming Mode with 50ms Ultra Low Latency Headphones. (Black)","₹1,999",899,Wings,WL-PHANTOM110-BLK,Black,nan,nan
Skullcandy Jib Wired In-Earphone with Mic (White/Black),"₹1,999",799,Skullcandy,Jib with Mic,black,In Ear,Wired
"Skullcandy Jib Bluetooth Truly Wireless in Ear Earbuds with Mic Dual with 22 Hours Total Battery, Ipx4 Sweat and Water Resistant, Noise-Isolating Fit,Call, Track and Volume Control (Chill Grey)","₹8,999","3,199",Skullcandy,Jib True Wireless Earbuds,Chill Grey,In Ear,Wireless
"Portronics Harmonics Z3 Wireless Bluetooth 5.3 Neckband in Ear Earphones with mic, 30Hrs Playtime, Magnetic Latch, IPX5 Water Resistant, Type C Charging Port(Grey)","₹1,999",699,Portronics,Harmonics Z3,Grey,In Ear,Wireless
"boAt Rockerz 103 Pro Bluetooth in Ear Neckband with Beast Mode(40ms Low Latency), ENx Tech, ASAP Charge(Fast Charge), Upto 20HRS Playback, Signature Sound, BT v5.3 & IPX4(Mint Pink)","₹2,490","1,199",boAt,Rockerz 103 Pro,Mint Pink,In Ear,Bluetooth
"Noise Tune Active Pro Wireless in Ear Neckband with Upto 60 Hours of Playtime, ESR, Dual Pairing, Low Latency, Instacharge, 10mm Driver, and Bluetooth v5.2(Jet Black)","₹2,999","1,269",Noise,Tune Active Pro,Jet Black,In Ear,Wireless
"PTron Bassbuds Vista in Ear True Wireless Bluetooth 5.1 Earbuds with Deep Bass, IPX4 Sweat Resistant, Passive Noise Cancelation, Upto 12Hrs Battery, Voice Assistance & Earbuds with HD Mic (White)","₹2,799","1,099",PTron,Bassbuds Vista,White,In Ear,Wireless
"boAt Nirvana 751 ANC Netflix Stream Edition Hybrid Active Noise Cancelling Bluetooth Over Ear Headphones with Up to 65H Playtime, ASAP Charge, Ambient Sound Mode, Immersive Sound, Carry Pouch(Silver)","₹7,990","3,999",boAt,Nirvanaa 751ANC,Silver,Over Ear,Bluetooth
"Boult Audio ProBass X1-Air Bluetooth Wireless in Ear Earphones with Mic with Fast Charging, 10H Battery Life & Extra Bass, in-Built Mic, IPX5 Water Resistant (Blue)","₹3,999",899,Boult Audio,ProBass X1 AIR,Blue,In Ear,Wireless
Meyaar Beex Abhinandan Series with Super Heavy Bass 90%-Noise Isolating Earbuds with Microphone and Amazing Sound Effects and Game Experience for All-Headphone for All Smartphones (White),₹799,249,Meyaar,,White,In Ear,wired usb
"(Renewed) ZEBRONICS Zeb-BRO PRO in Ear Wired Stereo Earphones with Mic, 3.5mm Audio Input Jack, 10mm Drivers, in-Line Mic, 1.2 Metre Cable (Black)",,,ZEBRONICS,ZEB BRo Pro,Black,In Ear,Wired
"Meyaar DG-Beex Pack of 3 Headset with High Bass Headphones with Microphone, Earbuds Wired Stereo Earphones for All Smartphones (3 Black) (Set of 3 White)",,289,Meyaar,,Set of 3 White,In Ear,Wired
pTron Twins Pro in-Ear True Wireless Bluetooth Headphones (TWS) with Mic - (Black),"₹3,499",699,PTron,Twins Pro,Black,In Ear,Wireless
Skullcandy Push Active Bluetooth Truly Wireless in Ear Earbuds with Mic with 44 Hours Total Battery & Ip55 Sweat and Water Resistant (True Black/Orange),"₹13,999","7,951",Skullcandy,Push Active,Orange Black,In Ear,Wireless
Skullcandy Indy XT True Wireless In-Ear Earbud - Black,"₹20,299","12,708",Skullcandy,Indy XT,Black,In Ear,Wireless
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue)",₹399,149,ZEBRONICS,ZEB-BRO,Blue,In Ear,Wired
ZEBRONICS Zeb-Yoga 2 Wireless Neckband with 21 hrs.* of Playback time.(Blue),"₹1,699",849,ZEBRONICS,Zeb-Yoga 2 (Blue),Blue,In Ear,Wireless
Dylect in-Ear Wired Earphone I Stereo Quality Sound I High Bass I in-Built Mic I 1.2m Tangle Free Cable I 3.5mm Aux Port (Black),₹299,188,Dylect,Dylect Wired Earphone,Black,In Ear,Wired
"PTron Bassbuds Plus True Wireless Bluetooth 5.0 in Ear Earbuds, Deep Bass, IPX4 Water/Sweat Resistant, Passive Noise Canceling, Digital Display Case & with Mic (Black)","₹2,499",849,PTron,Bassbuds Plus,Black,In Ear,Wireless
"pTron Tangent Urban with 60Hrs Playtime, ENC Wireless Bluetooth 5.3 Headphones, Low Latency Gaming, Punchy Bass, in-Ear Wireless Earphones with Mic, Type-C Charging, IPX4 & Voice Assistance (Green)","₹2,599",899,PTron,Tangent,Green,In Ear,Wireless
(Renewed) Boat Rockerz 450 Pro Bluetooth On-Ear Headphone with Mic(Luscious Black),,,boAt,,Luscious Black,On Ear,Wireless
"Evolve 30 UC Duo MS Optimized, Leather Cushion","₹12,900","9,000",Jabra,,,nan,nan
"Portronics Conch 50 in-Ear Wired Earphone with Mic, 3.5mm Audio Jack(White)",₹499,199,Portronics,Conch 50,White,In Ear,Wired
"Meyaar Zigzag-9139 Metal in-Ear Earbuds with Super Extra Bass Headphones, Metallic Finish Earphone with Mic & Tangle-Free Cable and Gold Plated Jack Metal Headset with Mic (Metal Black)",₹999,289,Meyaar,,Black,In Ear,wired usb
"Meyaar Plus Earphones, in Ear Headphones with Mic and Remote Control, Noise Isolating Earbuds, Bass Driven Sound, Premium Audio Quality, Compatible with and All Smartphones, Gold Black",₹999,219,Meyaar,,Midnight Black,In Ear,wired usb
"ZEBRONICS Zeb-Thunder Wireless Bluetooth Over The Ear Headphone FM, mSD, 9 hrs Playback with Mic (Red)","₹1,199",599,ZEBRONICS,ZEB-Thunder,Red,Over Ear,Bluetooth 4.2
boAt Bass Heads 225 in-Ear Wired Headphones with Mic (Frosty White),₹999,699,boAt,Bassheads 225,Frosty White,In Ear,Wired
ZEBRONICS Zeb-Duke Bluetooth Wireless Over Ear Headphone with Mic (Black),"₹1,999","1,299",ZEBRONICS,Zeb-Duke,Black,Over Ear,Wireless
"Jabra Evolve 20SE UC Stereo, Professional Wired On Ear Headset with Mic Great Sound & Easy Call Management","₹8,412","7,200",Jabra,,Black,On Ear,Wired
"Portronics Harmonics Z2 Wireless Bluetooth 5.2 Headset with Mic, ENC Noise Cancelling, Upto 30Hrs Playtime, Fast Charging Type C Neckband, Voice Assistant, & in-line Controls (Blue)","₹1,999",749,Portronics,Harmonics Z2,Blue,In Ear,Wireless
"Jabra Evolve 20SE MS Stereo, Professional Wired Headset","₹7,156","5,400",Jabra,,black,On Ear,Wired
"Skullcandy Hesh ANC Wireless Over-Ear Headphones, Active Noise Cancelling, Wireless Charging 22 Hours Battery Life - Mob White","₹19,999","10,599",Skullcandy,Hesh ANC,Mod White,Over Ear,Wireless
Skullcandy Uproar Wireless On-Ear Headphone with Mic (White/Grey/Red),"₹13,570","9,498",Skullcandy,Uproar,White/Grey/Red,On Ear,Wireless
"ZEBRONICS Zeb-Sound Bomb 5 TWS V5.0 Bluetooth Truly Wireless in Ear Earbuds with Up to 22H Backup, Flash Connect, Splash Proof, 10Mm Driver, with Mic and Type C (Black)","₹3,999",899,ZEBRONICS,ZEB-SOUND BOMB 5 (BLACK),Black,In Ear,Bluetooth 5.0
"Meyaar SPN.SP-29 + Beex HF-61 [Combo of 2] Ultra High Bass Headset, Wired in-Ear Earphone with Mic (Pack of 2 Black)",₹999,289,Meyaar,SP-29 + HF-61,Black (2 Pack),In Ear,Wired
(Renewed) boAT Rockerz 650 Green On Ear Wireless Earphone,,,boAt,Boat Rockerz 650-cr,Green,On Ear,Wireless
Skullcandy Grind Bluetooth Truly Wireless in Ear Earbuds with Mic with Voice (Light Gray Blue),"₹18,999","6,499",Skullcandy,Grind TWS,Light Gray Blue,In Ear,Wireless
"Meyaar Beex Series Wired Handsfree Earphones ErgoFit Earbud Headphones with Microphone and Call Controller Compatible with, Android and iOS Devices - HF-52 - in-Ear (White)",₹999,249,Meyaar,,Black,In Ear,Wired
"Noise Beads Bluetooth Truly Wireless in Ear Earbuds with Mic, 18 Hours of Playtime, Metallic Finish, Hypersync, Full Touch Controls, IPX5 (Pearl White)","₹3,499","1,399",Noise,Beads,Pearl White,In Ear,Wireless
"Boult Audio ProBass Ranger Over-Ear Wireless Bluetooth Headphones with Microphone, Headset with Long Battery Life","₹7,999","1,799",Boult Audio,ProBass,Black/Gold,Over Ear,Wireless
"Skullcandy Dime Bluetooth Truly Wireless in Ear Earbuds with Mic with 12 Hours Total Battery, Ipx4 Sweat and Water Resistant, Secure Noise Isolating Fit (Golden Orange)","₹7,499","2,499",Skullcandy,Dime TWS,Golden Orange,In Ear,Wireless
(Renewed) Boult Audio Audio Bass Buds Q2 Wired Over Ear Headphones with Mic (Black),,,Boult Audio,,Black,Over Ear,Wired
"pTron Tangent Duo Made in India Bluetooth 5.2 Wireless in-Ear Earphones with Mic, 24Hrs Playback, 13mm Drivers, Punchy Bass, Fast Charging, Voice Assistant, IPX4 & in-line Controls (Black & Grey)","₹1,899",549,PTron,Tangent,Black & Grey,In Ear,Wireless
"ZEBRONICS Zeb-Sound Bomb 5 TWS Up to 22H Backup, Type C Flash Connect, Splash Proof, Voice Assistant, Touch, V5.0 Bluetooth Truly Wireless in Ear Earbuds with Mic (Red) (Zeb-Sound Bomb 5 (RED))","₹3,999",899,ZEBRONICS,ZEB-SOUND BOMB 5 (RED),Red,In Ear,Wireless
"boAt Airdopes 121 PRO True Wireless in Ear Earbuds Signature Sound, Quad Mic ENx, Beast Mode for Gaming, 40H Playtime, IWP, IPX4, Battery Indicator Screen(Active Black) & Call Smart Watch",,,boAt,,Black,In Ear,Wireless
"Jabra Evolve2 75 PC Wireless On Ear Headset with 8-Microphone Technology - Dual Foam Stereo Headphones with Adjustable Advanced Active Noise Cancelling, USB-A Bluetooth Adapter - Black","₹52,562","40,600",Jabra,Evolve2 75,Black,On Ear,USB
"(Renewed) Skullcandy Dime True Wireless Earbuds with 12 Hours Total Battery, IPX4 Sweat and Water Resistant, Secure Noise Isolating Fit (Chill Grey)",,,Skullcandy,Dime,Chill Grey,In Ear,Wireless
Jabra Elite 7 Active in-Ear Bluetooth Earbuds - True Wireless Sports Ear Buds with Jabra ShakeGrip for The Ultimate Active fit and Adjustable Active Noise Cancellation - Black,"₹21,999","13,899",Jabra,Elite 7 Active,Black,In Ear,Bluetooth
Skullcandy Jib Wireless Bluetooth in Ear Earphone with Mic (Blue),"₹4,089","2,858",Skullcandy,SCS2DUW-K012,BlackBlue,In Ear,Wireless
"boAt Airdopes 121v2 in-Ear True Wireless Earbuds with Upto 14 Hours Playback, 8MM Drivers, Battery Indicators, Lightweight Earbuds & Multifunction Controls (Cherry Blossom, with Mic)","₹2,990","1,162",boAt,Airdopes 129,Cherry Blossom,In Ear,Wireless
Jabra Evolve 65 MS Stereo & Link 360 Bluetooth Wireless Over Ear Headphones with mic Black,"₹30,114","23,060",Jabra,Jabra Evolve 65 MS Stereo & Link 360,Black,Over Ear,Wireless
ZEBRONICS Zeb-Bloom Wired Headphones with 3.5mm Jack and 1.2m Cable (Black+ Metal Grey),,299,ZEBRONICS,Zeb-Bloom (Black+ metal grey),Black+metal grey,In Ear,Wired
"Meyaar Beex Series Wired Durable Metal Earphones HF-08 Earbuds with Microphone & Deep Bass Clear Sound Noise Isolating in Ear Headphones, Stereo Ear Buds for Cell Phones, Laptop, Tablet, (Metal White)",₹799,89,Meyaar,,Metal White,In Ear,wired usb
"Skullcandy Hesh ANC Wireless Over-Ear Headphones, Active Noise Cancelling, Wireless Charging 22 Hours Battery Life - Mob White","₹19,999","10,599",Skullcandy,Hesh ANC,Mod White,Over Ear,Wireless
"pTron Studio Over-Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Lightweight Wireless Headset, Soft Cushions Earpads, Fast Charging & Aux Port (Blue)","₹1,999",699,PTron,Studio,Blue,Over Ear,Wireless
"Jabra Elite 3 in Ear Bluetooth Truly Wireless in Ear Earbuds Noise Isolating with Mic for Clear Calls, Rich Bass, Customizable Sound, Mono Mode- Light Beige","₹6,999","4,499",Jabra,Elite 3,Light Beige,nan,nan
ZEBRONICS Zeb-Duke Bluetooth Wireless Over Ear Headphone with Mic (Blue),"₹2,499","1,299",ZEBRONICS,Zeb-Duke,Blue,Over Ear,Wireless
(Renewed) Skullcandy Cassette Wireless On-Ear Headphone with Mic (Black),,,Skullcandy,,Black,On Ear,Bluetooth
"(Renewed) boAt Rockerz 295v2 Wireless Neckband with BT v5.0, IPX7 Water Resistance, ASAP Fast Charge, Vibration Alert, Dual EQs, Immersive Sound, Up to 12H Playback(Spirit Lime)",,,boAt,,Spirit Lime,nan,nan
pTron Magg HBE (High Bass Earphones) Magnetic in-Ear Wired Headphones with Mic - (Gold),"₹1,299",249,PTron,Magg,Gold,In Ear,Wired
Skullcandy Dime 2 True Wireless in-Ear Earbuds - Take a Hike,"₹9,558","6,558",Skullcandy,Dime 2,Multicolour,In Ear,Bluetooth
"Noise Combat with Ultra Low Latency 45 Milliseconds Bluetooth Wireless in Ear Earphones with ENC with mic, instacharge and Breathing LED Lights (Thunder Black)","₹3,999","1,549",Noise,Combat,Thunder Black,In Ear,Wireless
"Boult Audio X1 Buds True Wireless in Ear Earbuds with 24H Playtime, Quad Mic ENC, Made in India, Type-C Fast Charging, Environmental Noise Cancellation, 10mm Bass Drivers, TWS Airbass ear buds (Black)","₹6,999","1,799",Boult Audio,Bassbuds,Black,In Ear,Bluetooth 5.1
"Wings Phantom 550, Wireless Earbuds, with 45 Hours Playtime, Bluetooth 5.3, Environmental Noise Cancellation, Touch Controls Headphones",,999,Wings,Phantom 550-Black,Black,nan,nan
"Wings Phantom 760 Wireless Earphones, Earbuds with Low Latency 40 ms, Sync App Support, Gaming Designed case with LED Lights, Bullet ChargeTM Headphones, Bluetooth 5.3 TWS Airpods","₹2,999","1,399",Wings,Phantom 760,Black,nan,nan
"boAt Rockerz 450 Pro Bluetooth Wireless On Ear Headphones with Mic with 70 Hours Battery, 40Mm Drivers, Bluetooth V5.0 Padded Ear Cushions, Easy Access Controls and Voice Assistant(Hazel Beige)","₹3,990","1,999",boAt,Rockerz 450 Pro,Hazel Beige,On Ear,Wireless
(Renewed) Skullcandy Indy Evo Truly Wireless Bluetooth In Ear Earbuds with Mic (Blue),,,Skullcandy,,Blue,In Ear,Wireless
"(Renewed) ZEBRONICS ZEB-SYMPHONY wireless neckband earphone with BT v5.2, Type C charging, Voice assistant support,13H backup, Splash proof, Magnetic earpiece, calling and built-in rechargeable battery (Orange)",,,ZEBRONICS,Zeb- Symphony (Orange),Orange,In Ear,Wireless
"Meyaar RP-2280 Wired Durable Metal Earphones Earbuds with Microphone & Deep Bass Clear Sound Noise Isolating in Ear Headphones, Stereo Ear Buds for Cell Phones, Laptop, Tablet (Metal White)",₹999,199,Meyaar,Pluss RP-2208,Metal White,In Ear,Wired
"boAt Rockerz 370 On Ear Bluetooth Headphones with Upto 12 Hours Playtime, Cozy Padded Earcups and Bluetooth v5.0(Gregarious Green) & Bassheads 100 in Ear Wired Earphones with Mic(Black)",,,boAt,,Black,On Ear,"Wireless, Wired"
"Boult Audio ProBass Curve-X Bluetooth Wireless in Ear Earphones with mic, with Fast Charging & 15H Battery Life, Extra Bass, IPX5 Water Resistant Earphones (Blue)","₹4,499",999,Boult Audio,ProBass,Blue,In Ear,Wireless
"boAt Airdopes 141 True Wireless in Ear Earbuds with mic, 42H Playtime, BeastMode, ENx Tech, ASAP Charge, IWP, IPX4 Water Resistance, Smooth Touch Controls(Cider Cyan) & r Headphones",,"1,499",boAt,,Cyan Cider,In Ear,Wireless
Skullcandy Inkd Plus Wireless in-Earphone with Mic (Red/Black),"₹3,999","2,999",Skullcandy,Ink'd Plus BT,Moab Red,In Ear,Bluetooth
"Skullcandy Hesh ANC Wireless Over-Ear Headphones, Active Noise Cancelling, Wireless Charging 22 Hours Battery Life - Mob White","₹19,999","10,599",Skullcandy,Hesh ANC,Mod White,Over Ear,Wireless
"Wings Phantom 410 Best Low Latency 40ms Wireless Earbuds, Gaming Case with Digital Battery Indicator, 70 Hours Playtime, ENC Mic, Touch Controls TWS Headset","₹2,999","1,507",Wings,Phantom 410,Blue,nan,nan
"PTron Bassbuds Plus True Wireless Bluetooth 5.0 in Ear Earbuds, Deep Bass, IPX4 Water/Sweat Resistant, Passive Noise Canceling, Digital Display Case & with Mic (Black)","₹2,499",849,PTron,Bassbuds Plus,Black,In Ear,Wireless
(Renewed) boAt BassHeads 220 Wired Headset (Red in The Ear),,,boAt,Bluetooth Headset,Multi,In Ear,Wireless
"Portronics Conch 20 in-Ear Wired Earphone with Type-C Jack, Powerful Audio, Built-in Microphone, Tangle Resistant Cable(White)",₹599,399,Portronics,Conch 20,White,In Ear,Wired
Skullcandy Jib Plus Wireless in-Earphone with Mic (Blue) (S2JPW-M101),"₹4,599","1,499",Skullcandy,Jib Plus,Blue/Black,In Ear,"Wireless, Bluetooth 5.0"
Jabra Store Evolve 30 Wired On Ear Headphone with Mic (Black),"₹18,500","7,900",Jabra,Evolve 30,black,On Ear,Wired
Skullcandy S2PGW-K615 in-Ear Wireless Earphones (Royal Blue),"₹15,090","6,530",Skullcandy,,Royal Blue,In Ear,Wireless
boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),₹999,399,boAt,BassHeads 100,Taffy Pink,In Ear,Wired
"boAt Airdopes 141 True Wireless in Ear Earbuds with mic, 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Gaming, ENx Tech (Bold Black) & Bassheads 242 in Ear Wired Earphones with Mic",,,boAt,,Bold Black,In Ear,"Wireless, Wired"
Jabra Evolve2 65 Headset,"₹76,927","56,927",Jabra,,Black,On Ear,Wired
"Boult Audio Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, IPX5, Bluetooth 5.1 Ear Buds TWS (Blue)","₹4,999","1,499",Boult Audio,AirBass,Z40 Blue,In Ear,Wireless
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Red)",₹399,149,ZEBRONICS,Zeb-Bro,Red,In Ear,Wired
"pTron Bassfest Plus Magnetic in Ear Bluetooth 5.0 Wireless Headphones with Mic, Stereo Sound with Bass, IPX4 Water & Sweat Resistant, Voice Assistance, Ergonomic & Lightweight - (Black & Yellow)","₹1,240",399,PTron,Bassfest Plus,Black & Yellow,"In Ear, On Ear","Wireless, Bluetooth 5.0"
"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)",₹999,599,JBL,C100SI,Black,In Ear,Wired
"(Renewed) boAt Rockerz 205 Pro Wireless Neckband with Beast™ Mode, ENx™ Mode for Clear Voice Delivery, ASAP™ Charge, 10mm Drivers, IPX5, Bluetooth v5.2, 30HRS Playtime(Rising Orange)",,,boAt,Rockerz 205 Pro,Rising Orange,nan,Wireless
"Meyaar Beex Abhinandan Series Wired Handsfree Stereo Earphones in-Ear Headphones Bass Earbuds, Headset with Mic (3 Pack| Pack of 3 White)","₹1,299",379,Meyaar,Meyaar,White,In Ear,Wired
"ZEBRONICS Jumbo with 160 H* Playback, ENC, Gaming Mode (Up to 50ms), Fast Charging 10min = 15H*, 1000mAh Built-in Battery, Dual Pairing, Voice Assistant, BT v5.2, Bluetooth Wireless Neckband (Sunset)","₹4,199","1,299",ZEBRONICS,ZEB-YOGA 1 (Sunset),Sunset,In Ear,Wireless
"ZEBRONICS Zeb-BRO PRO in Ear Wired Stereo Earphones with Mic, 3.5mm Audio Input Jack, 10mm Drivers, in-Line Mic, 1.2 Metre Cable (Red)",₹449,199,ZEBRONICS,Zeb-BRO PRO earphones (red),Red,In Ear,Wired
"Noise Buds VS303 in-Ear Truly Wireless Earbuds with 24H of Playtime, Hyper Sync Technology, with Mic, 13mm Speaker Driver and Full Touch Control (Jet Black)","₹2,999","1,499",Noise,Buds VS303,Jet Black,In Ear,Wireless
"Jabra Elite Active 75t True Wireless Bluetooth Earbuds, Copper Black Wireless Earbuds for Running and Sport, Charging Case Included, 24 Hour Battery, Active Noise Cancelling Sport Earbuds","₹29,999","18,999",Jabra,,Black,In Ear,Bluetooth Truly Wireless
(Renewed) boAt Airdopes 381 Mint Purple In Ear Wireless Earphone with Mic,,,boAt,Boat Airdopes 381-cr,Purple,In Ear,Wireless
boAt Bassheads 220 Wired in Ear Earphones with Mic(Raging Red),₹999,599,boAt,Bassheads 220,Raging Red,In Ear,Wired
"(Renewed) Boat Rockerz 255F Sports Wireless Headset with Super Extra Bass, IPX5 Water & Sweat Resistance, Qualcomm Chipset and Up to 6H Playback(Ocean Blue)",,,boAt,,Ocean Blue,nan,Wireless
(Renewed) boAt Rockerz 355 in-Ear Bluetooth Neckband Earphone with Mic(Active Black),,,boAt,Rockerz 355,Active Black,In Ear,Wireless
"Noise Buds Vs104 Bluetooth Truly Wireless in Ear Earbuds with Mic & ColorFit Pulse Grand Smart Watch with 1.69""(4.29cm) HD Display & Pulse Go Buzz Smart Watch Bluetooth Calling with 1.69"" Display",,,Noise,,Black,In Ear,Wireless
boAt bassheads 105 Wired in Ear Earphones with Mic (Green),,449,boAt,bassheads 105,Iguana,In Ear,Wired
Noise Buds VS201 V2 in-Ear Truly Wireless Earbuds with Dual Equalizer | with Mic | Total 14-Hour Playtime | Full Touch Control | IPX5 Water Resistance and Bluetooth v5.1 (Olive Green),"₹2,999","1,299",Noise,Buds VS201 V2,Olive Green,In Ear,Wireless
Skullcandy Ink'd Wireless in-Earphone with Mic (White/Gray/Gray),"₹12,308","6,603",Skullcandy,Ink'd,WhiteGray,In Ear,Wireless
boAt Rockerz 261 in Ear Wireless Earphones with mic(Raging Red),"₹4,999","1,499",boAt,Rockerz,Raging Red,In Ear,Wireless
Jabra Store Elite Active 65t Bluetooth Truly Wireless In Ear Earbuds with Mic (Blue),"₹22,103","12,996",Jabra,,Blue,In Ear,Wireless
"boAt Nirvana 751 ANC Hybrid Active Noise Cancelling Bluetooth Wireless Over Ear Headphones with Up to 65H Playtime, ASAP Charge, Ambient Sound Mode, Immersive Sound, Carry Pouch(Gunmetal Grey)","₹7,990","3,999",boAt,Nirvanaa 751 ANC,Gunmetal Grey,Over Ear,Bluetooth 5.0
"Meyaar SPN Wired Durable Metal Earphones SP-26 with Microphone & Deep Bass Clear Sound Noise Isolating in Ear Headphones, Stereo Ear Buds for Cell Phones, Laptop, Tablet, (Metal White)",₹799,199,Meyaar,,Metal White,In Ear,wired usb
"boAt Rockerz 370 On Ear Bluetooth Headphones with Upto 12 Hours Playtime, Cozy Padded Earcups and Bluetooth v5.0, with Mic (Buoyant Black)","₹2,499",999,boAt,Rockerz 370,Buoyant Black,On Ear,Wireless
Zebronics Zeb-Paradise Bluetooth Wired Over Ear Headphones With Mic Black,"₹1,399",949,ZEBRONICS,,Black,Over Ear,"Wireless, Wired"
"ZEBRONICS Zeb-Sound Bomb 5 TWS Flash Connect, Splash Proof, Voice Assistant, Touch Control, 10Mm Driver, Type C V5.0 Bluetooth Truly Wireless in Ear Earbuds with Mic (Blue)","₹3,999",899,ZEBRONICS,ZEB-SOUND BOMB 5 (BLUE),Blue,In Ear,Wireless
"Gaming Headset K8 with Surround Sound, Premium Wired Over Ear Gaming Headphones with Mic & LED Light, Compatible with PS5, PS4, Switch, Xbox Series X|S, PC, Laptop. (White)","₹1,999",827,RUNMUS GAMING,K8,Black,Over Ear,Wired
"Zebronics Zeb-Lark Wireless in Ear Neckband Earphone with BT 5.0, Rapid Fast Charging, Up to 17H Battery Life, Dual Pairing, Call Function, Splash Proof, Magnetic Earpiece (Orange)","₹1,499",795,ZEBRONICS,,Orange,In Ear,Wireless
"boAt Airdopes 121 PRO True Wireless in Ear Earbuds Signature Sound, Quad Mic ENx, Beast Mode for Gaming, 40H Playtime, IWP, IPX4, Battery Indicator Screen(Royal Blue)","₹2,990","1,499",boAt,Airdopes 133,Royal Blue,In Ear,Bluetooth 5.3
Skullcandy Indy Evo Truly Wireless Bluetooth in Ear Earbuds with Mic (Black),"₹12,999","6,499",Skullcandy,Indy Evo,Black,In Ear,Wireless
boAt Bassheads 152: Made in India in Ear Wired Earphones with Mic(Courageous Orange),"₹1,299",499,boAt,Bassheads 152,Courageous Orange,In Ear,3.5 mm Jack
